Order ID,Order Date,Requested Delivery Date,Actual Delivery Date,Days of Delay,Quantity Ordered,Quantity Delivered,Carrier Name,Carrier ID,Loading Location,Unloading Location,Cost on the Route,SKU Number,Customer ID,Customer Name,Category of Product,Availability of Product,Price of Product
16,2025-03-16,2025-03-23,2025-03-23,0,120,113,Carrier A,CAR005,Warehouse A,Warehouse G,159,SKU919,CU006,Company D,Dairy,In Stock,1.73
17,2025-03-17,2025-03-20,2025-03-20,0,588,588,Carrier B,CAR005,Warehouse F,Warehouse D,150,SKU899,CU009,Company F,Fruit Juice,Out of Stock,3.22
18,2025-03-18,2025-03-21,2025-03-21,0,518,478,Carrier C,CAR005,Warehouse E,Warehouse E,271,SKU760,CU003,Company E,Snack,In Stock,3.85
19,2025-03-19,2025-03-26,2025-03-28,0,78,78,Carrier E,CAR001,Warehouse B,Warehouse C,225,SKU391,CU003,Company B,Snack,In Stock,3.33
20,2025-03-20,2025-03-23,2025-03-24,1,443,420,Carrier E,CAR004,Warehouse E,Warehouse G,102,SKU886,CU002,Company F,Fruit Juice,In Stock,4.14
21,2025-03-21,2025-03-27,2025-03-28,0,574,574,Carrier D,CAR003,Warehouse A,Warehouse B,264,SKU181,CU010,Company B,Dairy,In Stock,1.79
22,2025-03-22,2025-03-26,2025-03-26,0,162,158,Carrier C,CAR001,Warehouse B,Warehouse F,126,SKU989,CU007,Company A,Fruit Juice,Out of Stock,2.15
23,2025-03-23,2025-03-29,2025-03-31,0,206,206,Carrier C,CAR002,Warehouse C,Warehouse G,149,SKU689,CU006,Company F,Beverage,In Stock,1.66
24,2025-03-24,2025-03-27,2025-03-28,1,261,231,Carrier D,CAR002,Warehouse F,Warehouse F,105,SKU298,CU003,Company D,Beverage,In Stock,3.2
25,2025-03-25,2025-03-28,2025-03-30,0,433,433,Carrier D,CAR002,Warehouse D,Warehouse C,227,SKU404,CU006,Company D,Tea,In Stock,2.32
26,2025-03-26,2025-04-01,2025-04-02,1,117,96,Carrier A,CAR002,Warehouse E,Warehouse G,160,SKU307,CU009,Company C,Beverage,Out of Stock,2.86
27,2025-03-27,2025-03-31,2025-04-02,0,185,185,Carrier B,CAR003,Warehouse E,Warehouse C,128,SKU203,CU002,Company B,Beverage,In Stock,3.1
28,2025-03-28,2025-04-01,2025-04-03,2,622,591,Carrier D,CAR003,Warehouse B,Warehouse F,213,SKU291,CU006,Company F,Fruit Juice,In Stock,2.94
29,2025-03-29,2025-04-04,2025-04-04,0,271,271,Carrier E,CAR005,Warehouse D,Warehouse E,266,SKU673,CU003,Company E,Beverage,In Stock,2.95
30,2025-03-30,2025-04-02,2025-04-02,0,435,398,Carrier D,CAR002,Warehouse D,Warehouse G,120,SKU812,CU001,Company F,Snack,In Stock,3.55
31,2025-03-31,2025-04-04,2025-04-05,0,428,428,Carrier E,CAR002,Warehouse E,Warehouse F,159,SKU267,CU005,Company B,Snack,In Stock,2.44
32,2025-04-01,2025-04-08,2025-04-10,2,612,611,Carrier C,CAR001,Warehouse A,Warehouse D,206,SKU329,CU009,Company B,Tea,In Stock,2.37
33,2025-04-02,2025-04-07,2025-04-08,0,136,136,Carrier E,CAR003,Warehouse B,Warehouse E,159,SKU940,CU010,Company A,Fruit Juice,In Stock,2.02
34,2025-04-03,2025-04-10,2025-04-12,2,308,302,Carrier A,CAR004,Warehouse D,Warehouse E,294,SKU862,CU008,Company B,Fruit Juice,In Stock,4.24
35,2025-04-04,2025-04-10,2025-04-12,0,553,553,Carrier A,CAR002,Warehouse D,Warehouse C,100,SKU592,CU008,Company B,Tea,Out of Stock,3.79
36,2025-04-05,2025-04-09,2025-04-11,2,587,541,Carrier D,CAR003,Warehouse A,Warehouse F,226,SKU696,CU004,Company B,Tea,In Stock,2.59
37,2025-04-06,2025-04-13,2025-04-15,0,123,123,Carrier E,CAR001,Warehouse D,Warehouse D,107,SKU646,CU007,Company F,Fruit Juice,In Stock,3.83
38,2025-04-07,2025-04-14,2025-04-16,2,626,611,Carrier E,CAR003,Warehouse C,Warehouse B,214,SKU319,CU007,Company A,Fruit Juice,In Stock,3.91
39,2025-04-08,2025-04-11,2025-04-11,0,456,456,Carrier D,CAR003,Warehouse A,Warehouse C,184,SKU930,CU005,Company C,Tea,In Stock,4.15
40,2025-04-09,2025-04-15,2025-04-17,2,380,340,Carrier A,CAR002,Warehouse A,Warehouse B,167,SKU269,CU005,Company D,Fruit Juice,In Stock,2.39
41,2025-04-10,2025-04-14,2025-04-16,0,452,452,Carrier B,CAR003,Warehouse A,Warehouse D,128,SKU943,CU008,Company A,Beverage,In Stock,4.32
42,2025-04-11,2025-04-15,2025-04-15,0,134,120,Carrier E,CAR005,Warehouse C,Warehouse B,244,SKU338,CU010,Company B,Dairy,In Stock,1.65
43,2025-04-12,2025-04-15,2025-04-15,0,509,509,Carrier C,CAR003,Warehouse F,Warehouse B,156,SKU948,CU005,Company C,Dairy,In Stock,2.89
44,2025-04-13,2025-04-17,2025-04-18,1,218,168,Carrier B,CAR004,Warehouse C,Warehouse F,141,SKU571,CU004,Company B,Tea,Out of Stock,2.3
45,2025-04-14,2025-04-17,2025-04-19,0,667,667,Carrier C,CAR005,Warehouse F,Warehouse B,217,SKU297,CU003,Company A,Snack,In Stock,3.11
46,2025-04-15,2025-04-21,2025-04-22,1,509,463,Carrier C,CAR001,Warehouse F,Warehouse E,261,SKU480,CU009,Company F,Tea,In Stock,2.88
47,2025-04-16,2025-04-19,2025-04-21,0,310,310,Carrier B,CAR002,Warehouse C,Warehouse B,251,SKU981,CU008,Company B,Coffee,In Stock,4.41
48,2025-04-17,2025-04-22,2025-04-24,2,282,244,Carrier B,CAR002,Warehouse F,Warehouse F,290,SKU294,CU008,Company B,Dairy,Out of Stock,2.49
49,2025-04-18,2025-04-22,2025-04-22,0,531,531,Carrier E,CAR004,Warehouse D,Warehouse C,265,SKU610,CU009,Company B,Beverage,In Stock,3.38
50,2025-04-19,2025-04-23,2025-04-24,1,298,289,Carrier E,CAR004,Warehouse E,Warehouse E,186,SKU436,CU005,Company C,Dairy,Out of Stock,2.52
51,2025-04-20,2025-04-24,2025-04-25,0,518,518,Carrier A,CAR002,Warehouse A,Warehouse G,182,SKU954,CU007,Company A,Fruit Juice,In Stock,2.24
52,2025-04-21,2025-04-27,2025-04-27,0,692,679,Carrier E,CAR002,Warehouse A,Warehouse G,186,SKU859,CU002,Company A,Coffee,In Stock,2.82
53,2025-04-22,2025-04-29,2025-04-29,0,256,256,Carrier B,CAR003,Warehouse E,Warehouse E,284,SKU613,CU004,Company F,Coffee,In Stock,3.95
54,2025-04-23,2025-04-28,2025-04-28,0,480,465,Carrier C,CAR002,Warehouse F,Warehouse E,192,SKU968,CU003,Company D,Dairy,In Stock,2.65
55,2025-04-24,2025-05-01,2025-05-01,0,470,470,Carrier D,CAR005,Warehouse F,Warehouse E,183,SKU794,CU005,Company A,Coffee,In Stock,4.28
56,2025-04-25,2025-04-28,2025-04-28,0,635,625,Carrier A,CAR004,Warehouse D,Warehouse E,188,SKU169,CU007,Company E,Snack,In Stock,3.09
57,2025-04-26,2025-04-30,2025-05-01,0,315,315,Carrier B,CAR004,Warehouse C,Warehouse B,104,SKU519,CU007,Company B,Fruit Juice,Out of Stock,1.52
58,2025-04-27,2025-05-01,2025-05-03,2,129,124,Carrier C,CAR001,Warehouse C,Warehouse B,169,SKU151,CU009,Company D,Fruit Juice,In Stock,2.77
59,2025-04-28,2025-05-02,2025-05-03,0,489,489,Carrier C,CAR004,Warehouse C,Warehouse E,119,SKU196,CU008,Company D,Beverage,Out of Stock,1.75
60,2025-04-29,2025-05-02,2025-05-02,0,557,546,Carrier A,CAR003,Warehouse A,Warehouse D,288,SKU725,CU004,Company F,Tea,In Stock,2.58
61,2025-04-30,2025-05-07,2025-05-08,0,240,240,Carrier D,CAR002,Warehouse F,Warehouse E,131,SKU986,CU001,Company B,Beverage,In Stock,2.37
62,2025-05-01,2025-05-05,2025-05-06,1,421,387,Carrier E,CAR001,Warehouse C,Warehouse B,151,SKU812,CU004,Company C,Dairy,In Stock,3.23
63,2025-05-02,2025-05-06,2025-05-06,0,423,423,Carrier C,CAR004,Warehouse A,Warehouse G,112,SKU643,CU006,Company B,Dairy,In Stock,3.33
64,2025-05-03,2025-05-06,2025-05-06,0,282,251,Carrier B,CAR002,Warehouse A,Warehouse D,123,SKU509,CU003,Company F,Beverage,In Stock,3.76
65,2025-05-04,2025-05-10,2025-05-10,0,113,113,Carrier E,CAR003,Warehouse A,Warehouse D,176,SKU513,CU003,Company C,Tea,In Stock,2.9
66,2025-05-05,2025-05-10,2025-05-12,2,105,92,Carrier D,CAR001,Warehouse B,Warehouse C,268,SKU428,CU008,Company F,Snack,In Stock,4.42
67,2025-05-06,2025-05-10,2025-05-10,0,216,216,Carrier D,CAR003,Warehouse C,Warehouse D,145,SKU862,CU010,Company A,Dairy,In Stock,2.98
68,2025-05-07,2025-05-12,2025-05-13,1,370,362,Carrier D,CAR004,Warehouse B,Warehouse C,114,SKU246,CU009,Company F,Dairy,In Stock,3.59
69,2025-05-08,2025-05-13,2025-05-15,0,208,208,Carrier C,CAR004,Warehouse F,Warehouse C,148,SKU902,CU003,Company C,Tea,In Stock,4.39
70,2025-05-09,2025-05-14,2025-05-16,2,364,314,Carrier C,CAR001,Warehouse B,Warehouse D,247,SKU167,CU005,Company F,Tea,In Stock,4.0
71,2025-05-10,2025-05-13,2025-05-15,0,315,315,Carrier A,CAR005,Warehouse D,Warehouse F,130,SKU237,CU004,Company B,Snack,In Stock,3.7
72,2025-05-11,2025-05-18,2025-05-18,0,398,372,Carrier B,CAR004,Warehouse B,Warehouse E,129,SKU754,CU008,Company C,Tea,In Stock,3.98
73,2025-05-12,2025-05-16,2025-05-17,0,275,275,Carrier C,CAR004,Warehouse D,Warehouse D,290,SKU976,CU009,Company C,Dairy,In Stock,4.24
74,2025-05-13,2025-05-16,2025-05-16,0,567,548,Carrier A,CAR005,Warehouse F,Warehouse B,211,SKU211,CU006,Company D,Dairy,In Stock,2.05
75,2025-05-14,2025-05-20,2025-05-20,0,561,561,Carrier C,CAR002,Warehouse D,Warehouse E,207,SKU184,CU003,Company B,Fruit Juice,Out of Stock,3.9
76,2025-05-15,2025-05-20,2025-05-21,1,298,274,Carrier B,CAR001,Warehouse C,Warehouse B,278,SKU349,CU003,Company E,Dairy,Out of Stock,1.65
77,2025-05-16,2025-05-23,2025-05-24,0,469,469,Carrier D,CAR004,Warehouse C,Warehouse C,254,SKU844,CU004,Company D,Dairy,In Stock,1.73
78,2025-05-17,2025-05-23,2025-05-25,2,565,533,Carrier A,CAR004,Warehouse C,Warehouse E,262,SKU927,CU007,Company E,Dairy,In Stock,1.94
79,2025-05-18,2025-05-25,2025-05-27,0,392,392,Carrier A,CAR003,Warehouse A,Warehouse D,132,SKU657,CU004,Company B,Fruit Juice,In Stock,3.97
80,2025-05-19,2025-05-25,2025-05-26,1,370,320,Carrier A,CAR004,Warehouse A,Warehouse D,198,SKU635,CU004,Company C,Fruit Juice,Out of Stock,1.71
81,2025-05-20,2025-05-25,2025-05-26,0,422,422,Carrier A,CAR004,Warehouse A,Warehouse D,148,SKU575,CU006,Company A,Beverage,In Stock,2.47
82,2025-05-21,2025-05-27,2025-05-27,0,616,570,Carrier A,CAR003,Warehouse E,Warehouse B,138,SKU467,CU009,Company A,Dairy,In Stock,4.41
83,2025-05-22,2025-05-28,2025-05-28,0,599,599,Carrier A,CAR003,Warehouse E,Warehouse B,143,SKU135,CU003,Company D,Dairy,In Stock,2.97
84,2025-05-23,2025-05-27,2025-05-28,1,408,407,Carrier E,CAR004,Warehouse B,Warehouse D,177,SKU251,CU009,Company A,Coffee,Out of Stock,4.39
85,2025-05-24,2025-05-30,2025-05-31,0,583,583,Carrier E,CAR004,Warehouse A,Warehouse G,123,SKU609,CU009,Company E,Fruit Juice,In Stock,1.71
86,2025-05-25,2025-05-30,2025-05-31,1,385,339,Carrier A,CAR002,Warehouse E,Warehouse E,215,SKU187,CU004,Company E,Coffee,In Stock,2.79
87,2025-05-26,2025-06-01,2025-06-02,0,333,333,Carrier A,CAR005,Warehouse F,Warehouse D,144,SKU948,CU010,Company D,Fruit Juice,In Stock,2.84
88,2025-05-27,2025-06-02,2025-06-03,1,559,529,Carrier C,CAR005,Warehouse F,Warehouse E,186,SKU908,CU001,Company A,Snack,In Stock,4.49
89,2025-05-28,2025-06-04,2025-06-06,0,114,114,Carrier C,CAR003,Warehouse D,Warehouse B,255,SKU166,CU009,Company D,Fruit Juice,In Stock,2.33
90,2025-05-29,2025-06-02,2025-06-02,0,404,402,Carrier A,CAR003,Warehouse D,Warehouse G,202,SKU538,CU007,Company B,Beverage,Out of Stock,2.72
91,2025-05-30,2025-06-05,2025-06-05,0,156,156,Carrier B,CAR004,Warehouse E,Warehouse F,214,SKU491,CU003,Company E,Snack,In Stock,2.81
92,2025-05-31,2025-06-03,2025-06-04,1,670,626,Carrier E,CAR002,Warehouse D,Warehouse D,166,SKU649,CU006,Company F,Tea,In Stock,3.94
93,2025-06-01,2025-06-07,2025-06-07,0,381,381,Carrier C,CAR003,Warehouse A,Warehouse G,300,SKU747,CU010,Company D,Coffee,In Stock,2.31
94,2025-06-02,2025-06-08,2025-06-09,1,686,660,Carrier C,CAR002,Warehouse D,Warehouse F,243,SKU220,CU008,Company A,Dairy,In Stock,3.91
95,2025-06-03,2025-06-07,2025-06-08,0,492,492,Carrier C,CAR003,Warehouse F,Warehouse F,255,SKU143,CU008,Company C,Coffee,In Stock,3.66
96,2025-06-04,2025-06-11,2025-06-12,1,149,140,Carrier C,CAR001,Warehouse F,Warehouse G,100,SKU211,CU008,Company A,Coffee,In Stock,3.99
97,2025-06-05,2025-06-10,2025-06-11,0,593,593,Carrier D,CAR004,Warehouse A,Warehouse F,101,SKU137,CU010,Company F,Fruit Juice,In Stock,2.83
98,2025-06-06,2025-06-13,2025-06-14,1,143,110,Carrier B,CAR002,Warehouse E,Warehouse G,100,SKU523,CU003,Company E,Fruit Juice,In Stock,2.14
99,2025-06-07,2025-06-11,2025-06-12,0,672,672,Carrier D,CAR004,Warehouse D,Warehouse B,107,SKU682,CU007,Company F,Fruit Juice,In Stock,1.64
100,2025-06-08,2025-06-11,2025-06-12,1,187,176,Carrier A,CAR004,Warehouse C,Warehouse D,241,SKU107,CU004,Company D,Snack,In Stock,3.74
101,2025-06-09,2025-06-15,2025-06-17,0,278,278,Carrier B,CAR005,Warehouse D,Warehouse F,276,SKU872,CU002,Company E,Beverage,In Stock,2.87
102,2025-06-10,2025-06-17,2025-06-18,1,464,418,Carrier A,CAR001,Warehouse B,Warehouse C,263,SKU351,CU008,Company F,Tea,In Stock,3.77
103,2025-06-11,2025-06-14,2025-06-14,0,131,131,Carrier B,CAR003,Warehouse E,Warehouse F,189,SKU372,CU005,Company B,Tea,In Stock,1.87
104,2025-06-12,2025-06-19,2025-06-19,0,500,454,Carrier C,CAR003,Warehouse D,Warehouse C,222,SKU361,CU002,Company D,Fruit Juice,Out of Stock,3.57
105,2025-06-13,2025-06-19,2025-06-19,0,450,450,Carrier E,CAR001,Warehouse F,Warehouse G,290,SKU909,CU006,Company B,Dairy,In Stock,4.4
106,2025-06-14,2025-06-19,2025-06-20,1,326,292,Carrier D,CAR005,Warehouse D,Warehouse C,165,SKU917,CU004,Company B,Fruit Juice,In Stock,1.58
107,2025-06-15,2025-06-21,2025-06-21,0,172,172,Carrier D,CAR004,Warehouse E,Warehouse F,181,SKU197,CU005,Company C,Tea,In Stock,4.22
108,2025-06-16,2025-06-22,2025-06-22,0,277,253,Carrier B,CAR002,Warehouse D,Warehouse B,193,SKU412,CU009,Company A,Coffee,In Stock,2.98
109,2025-06-17,2025-06-22,2025-06-23,0,410,410,Carrier B,CAR005,Warehouse D,Warehouse E,263,SKU591,CU001,Company A,Snack,In Stock,2.51
110,2025-06-18,2025-06-25,2025-06-26,1,120,94,Carrier C,CAR003,Warehouse D,Warehouse E,171,SKU842,CU004,Company E,Coffee,In Stock,3.71
111,2025-06-19,2025-06-25,2025-06-26,0,610,610,Carrier B,CAR001,Warehouse F,Warehouse C,137,SKU810,CU003,Company F,Beverage,In Stock,2.32
112,2025-06-20,2025-06-27,2025-06-28,1,182,136,Carrier E,CAR005,Warehouse D,Warehouse E,131,SKU983,CU007,Company D,Coffee,Out of Stock,2.77
113,2025-06-21,2025-06-25,2025-06-25,0,122,122,Carrier D,CAR003,Warehouse B,Warehouse B,269,SKU726,CU001,Company F,Coffee,In Stock,3.6
114,2025-06-22,2025-06-27,2025-06-27,0,375,358,Carrier D,CAR002,Warehouse F,Warehouse F,112,SKU912,CU002,Company A,Fruit Juice,Out of Stock,3.45
115,2025-06-23,2025-06-30,2025-07-02,0,487,487,Carrier B,CAR002,Warehouse A,Warehouse F,138,SKU751,CU009,Company F,Coffee,In Stock,2.39
116,2025-06-24,2025-06-29,2025-07-01,2,665,629,Carrier E,CAR002,Warehouse B,Warehouse E,191,SKU217,CU003,Company D,Tea,In Stock,3.81
117,2025-06-25,2025-06-28,2025-06-29,0,629,629,Carrier D,CAR002,Warehouse D,Warehouse E,203,SKU907,CU007,Company D,Fruit Juice,In Stock,3.52
118,2025-06-26,2025-07-03,2025-07-05,2,387,379,Carrier D,CAR004,Warehouse B,Warehouse F,163,SKU712,CU009,Company F,Fruit Juice,In Stock,2.45
119,2025-06-27,2025-07-01,2025-07-01,0,273,273,Carrier A,CAR004,Warehouse E,Warehouse F,120,SKU390,CU005,Company E,Dairy,In Stock,4.19
120,2025-06-28,2025-07-01,2025-07-03,2,365,328,Carrier C,CAR003,Warehouse E,Warehouse F,134,SKU339,CU010,Company D,Coffee,In Stock,2.29
121,2025-06-29,2025-07-06,2025-07-08,0,409,409,Carrier B,CAR003,Warehouse B,Warehouse E,203,SKU563,CU004,Company E,Dairy,In Stock,3.97
122,2025-06-30,2025-07-04,2025-07-04,0,164,139,Carrier B,CAR005,Warehouse B,Warehouse C,285,SKU733,CU006,Company C,Tea,In Stock,2.11
123,2025-07-01,2025-07-04,2025-07-06,0,540,540,Carrier E,CAR001,Warehouse D,Warehouse B,171,SKU517,CU009,Company F,Dairy,In Stock,3.32
124,2025-07-02,2025-07-09,2025-07-10,1,115,106,Carrier B,CAR001,Warehouse E,Warehouse E,230,SKU577,CU009,Company E,Fruit Juice,In Stock,2.96
125,2025-07-03,2025-07-06,2025-07-06,0,262,262,Carrier C,CAR004,Warehouse B,Warehouse B,103,SKU396,CU008,Company D,Fruit Juice,In Stock,2.46
126,2025-07-04,2025-07-07,2025-07-08,1,611,571,Carrier E,CAR004,Warehouse A,Warehouse D,220,SKU717,CU010,Company E,Beverage,Out of Stock,1.91
127,2025-07-05,2025-07-08,2025-07-08,0,649,649,Carrier B,CAR005,Warehouse D,Warehouse G,245,SKU101,CU008,Company A,Coffee,In Stock,2.91
128,2025-07-06,2025-07-09,2025-07-09,0,555,533,Carrier B,CAR003,Warehouse B,Warehouse F,295,SKU283,CU004,Company D,Dairy,In Stock,4.41
129,2025-07-07,2025-07-14,2025-07-16,0,268,268,Carrier D,CAR004,Warehouse C,Warehouse F,180,SKU779,CU009,Company A,Tea,In Stock,3.07
130,2025-07-08,2025-07-15,2025-07-17,2,381,365,Carrier A,CAR005,Warehouse D,Warehouse G,236,SKU337,CU003,Company F,Snack,In Stock,1.69
131,2025-07-09,2025-07-13,2025-07-13,0,619,619,Carrier E,CAR001,Warehouse D,Warehouse E,230,SKU657,CU009,Company C,Beverage,In Stock,2.08
132,2025-07-10,2025-07-14,2025-07-15,1,452,410,Carrier A,CAR003,Warehouse A,Warehouse B,294,SKU935,CU004,Company C,Fruit Juice,In Stock,3.04
133,2025-07-11,2025-07-14,2025-07-14,0,519,519,Carrier C,CAR004,Warehouse C,Warehouse G,152,SKU635,CU007,Company D,Tea,In Stock,3.25
134,2025-07-12,2025-07-16,2025-07-18,2,683,659,Carrier A,CAR001,Warehouse C,Warehouse F,256,SKU501,CU009,Company E,Fruit Juice,In Stock,3.24
135,2025-07-13,2025-07-20,2025-07-21,0,357,357,Carrier A,CAR005,Warehouse F,Warehouse G,261,SKU716,CU009,Company D,Tea,Out of Stock,3.92
136,2025-07-14,2025-07-19,2025-07-21,2,166,147,Carrier B,CAR004,Warehouse D,Warehouse E,153,SKU811,CU009,Company E,Dairy,In Stock,4.07
137,2025-07-15,2025-07-18,2025-07-19,0,282,282,Carrier E,CAR003,Warehouse F,Warehouse F,262,SKU979,CU009,Company E,Beverage,In Stock,1.53
138,2025-07-16,2025-07-19,2025-07-19,0,164,145,Carrier B,CAR005,Warehouse A,Warehouse C,187,SKU721,CU008,Company F,Tea,In Stock,1.62
139,2025-07-17,2025-07-23,2025-07-24,0,348,348,Carrier D,CAR003,Warehouse A,Warehouse C,263,SKU953,CU004,Company C,Dairy,In Stock,3.03
140,2025-07-18,2025-07-23,2025-07-23,0,272,248,Carrier E,CAR003,Warehouse D,Warehouse D,265,SKU372,CU004,Company E,Fruit Juice,Out of Stock,3.41
141,2025-07-19,2025-07-22,2025-07-22,0,198,198,Carrier B,CAR003,Warehouse D,Warehouse B,227,SKU659,CU006,Company F,Dairy,In Stock,1.77
142,2025-07-20,2025-07-24,2025-07-24,0,465,461,Carrier A,CAR003,Warehouse C,Warehouse G,171,SKU345,CU010,Company F,Coffee,In Stock,1.59
143,2025-07-21,2025-07-27,2025-07-28,0,604,604,Carrier E,CAR004,Warehouse D,Warehouse B,206,SKU272,CU010,Company D,Coffee,In Stock,2.38
144,2025-07-22,2025-07-27,2025-07-29,2,235,219,Carrier E,CAR005,Warehouse F,Warehouse C,290,SKU709,CU003,Company C,Tea,In Stock,2.47
145,2025-07-23,2025-07-30,2025-08-01,0,632,632,Carrier E,CAR003,Warehouse E,Warehouse C,162,SKU782,CU010,Company B,Tea,In Stock,2.72
146,2025-07-24,2025-07-30,2025-07-31,1,214,213,Carrier B,CAR002,Warehouse C,Warehouse E,138,SKU797,CU010,Company B,Snack,Out of Stock,1.66
147,2025-07-25,2025-07-30,2025-07-31,0,449,449,Carrier D,CAR003,Warehouse C,Warehouse D,288,SKU689,CU007,Company A,Beverage,In Stock,2.93
148,2025-07-26,2025-07-30,2025-07-30,0,648,624,Carrier A,CAR001,Warehouse A,Warehouse C,163,SKU966,CU002,Company A,Dairy,In Stock,2.83
149,2025-07-27,2025-08-03,2025-08-05,0,306,306,Carrier A,CAR005,Warehouse C,Warehouse D,260,SKU344,CU005,Company C,Coffee,In Stock,4.23
150,2025-07-28,2025-08-02,2025-08-02,0,538,529,Carrier A,CAR001,Warehouse F,Warehouse D,146,SKU472,CU004,Company A,Snack,In Stock,3.25
151,2025-07-29,2025-08-02,2025-08-04,0,127,127,Carrier D,CAR002,Warehouse D,Warehouse B,190,SKU891,CU001,Company C,Beverage,In Stock,4.0
152,2025-07-30,2025-08-04,2025-08-04,0,226,179,Carrier B,CAR001,Warehouse E,Warehouse F,187,SKU718,CU003,Company F,Beverage,Out of Stock,4.42
153,2025-07-31,2025-08-05,2025-08-06,0,492,492,Carrier A,CAR005,Warehouse F,Warehouse C,235,SKU126,CU007,Company C,Tea,In Stock,1.58
154,2025-08-01,2025-08-07,2025-08-08,1,332,327,Carrier A,CAR002,Warehouse B,Warehouse D,142,SKU936,CU005,Company A,Tea,In Stock,3.49
155,2025-08-02,2025-08-08,2025-08-09,0,312,312,Carrier D,CAR002,Warehouse A,Warehouse C,143,SKU497,CU010,Company D,Tea,In Stock,2.22
156,2025-08-03,2025-08-10,2025-08-10,0,352,332,Carrier C,CAR002,Warehouse A,Warehouse G,252,SKU529,CU006,Company F,Fruit Juice,In Stock,1.7
157,2025-08-04,2025-08-08,2025-08-08,0,169,169,Carrier C,CAR001,Warehouse C,Warehouse G,256,SKU806,CU006,Company F,Beverage,Out of Stock,3.98
158,2025-08-05,2025-08-09,2025-08-11,2,673,655,Carrier B,CAR003,Warehouse E,Warehouse E,133,SKU284,CU004,Company B,Beverage,In Stock,2.2
159,2025-08-06,2025-08-10,2025-08-10,0,493,493,Carrier D,CAR004,Warehouse B,Warehouse E,267,SKU514,CU004,Company D,Snack,In Stock,3.1
160,2025-08-07,2025-08-12,2025-08-12,0,437,402,Carrier A,CAR003,Warehouse A,Warehouse E,181,SKU428,CU004,Company A,Dairy,In Stock,3.66
161,2025-08-08,2025-08-13,2025-08-14,0,284,284,Carrier E,CAR002,Warehouse D,Warehouse F,240,SKU642,CU002,Company B,Beverage,In Stock,2.98
162,2025-08-09,2025-08-13,2025-08-14,1,366,343,Carrier A,CAR004,Warehouse C,Warehouse C,207,SKU744,CU004,Company B,Coffee,In Stock,4.25
163,2025-08-10,2025-08-14,2025-08-16,0,437,437,Carrier A,CAR003,Warehouse E,Warehouse F,165,SKU364,CU007,Company F,Snack,In Stock,2.29
164,2025-08-11,2025-08-17,2025-08-19,2,390,343,Carrier C,CAR002,Warehouse F,Warehouse B,258,SKU464,CU008,Company C,Tea,In Stock,2.67
